Slice,Distance,BandArea,BandMedian
252,4.0,76,159.5
253,2.0,109,126.0
253,4.0,82,158.5
253,6.0,49,178.0
254,2.0,133,119.0
254,4.0,117,153.0
254,6.0,51,200.0
255,2.0,141,110.0
255,4.0,122,141.0
255,6.0,64,192.0
256,2.0,140,111.5
256,4.0,119,152.0
256,6.0,71,188.0
257,2.0,144,105.0
257,4.0,123,146.0
257,6.0,84,173.5
258,2.0,139,108.0
258,4.0,125,150.0
258,6.0,89,176.0
259,2.0,198,103.0
259,4.0,117,128.0
259,6.0,69,158.0
260,2.0,153,107.0
260,4.0,140,138.0
260,6.0,104,174.5
261,2.0,172,108.0
261,4.0,154,145.0
261,6.0,119,173.0
262,2.0,184,108.0
262,4.0,165,147.0
262,6.0,127,176.0
263,2.0,192,100.0
263,4.0,173,136.0
263,6.0,119,167.0
264,2.0,206,98.0
264,4.0,154,133.0
264,6.0,101,166.0
265,2.0,170,99.0
265,4.0,137,130.0
265,6.0,97,170.0
265,8.0,53,169.0
266,2.0,177,95.0
266,4.0,135,125.0
266,6.0,89,164.0
267,2.0,181,102.0
267,4.0,144,125.5
267,6.0,69,171.0
268,2.0,230,98.0
268,4.0,151,120.0
268,6.0,59,148.0
269,2.0,273,103.0
269,4.0,173,119.0
270,2.0,227,113.0
270,4.0,192,133.0
271,2.0,203,112.0
271,4.0,164,137.0
271,6.0,73,148.0
272,2.0,193,108.0
272,4.0,147,130.0
272,6.0,69,150.0
273,2.0,199,102.0
273,4.0,128,121.0
273,6.0,57,156.0
274,2.0,180,100.0
274,4.0,120,120.5
274,6.0,53,150.0
275,2.0,132,109.0
275,4.0,111,141.0
275,6.0,75,161.0
276,2.0,134,112.0
276,4.0,114,133.5
276,6.0,76,167.5
277,2.0,209,104.0
277,4.0,169,123.0
277,6.0,84,140.5
277,8.0,51,169.0
278,2.0,210,106.0
278,4.0,162,124.5
278,6.0,111,131.0
278,8.0,67,153.0
279,2.0,201,108.0
279,4.0,180,129.5
279,6.0,116,142.5
279,8.0,65,164.0
280,2.0,200,106.0
280,4.0,184,133.0
280,6.0,126,150.0
280,8.0,59,166.0
281,2.0,214,111.0
281,4.0,170,145.0
281,6.0,116,175.5
281,8.0,64,186.5
282,2.0,189,114.0
282,4.0,171,153.0
282,6.0,115,189.0
282,8.0,70,195.0
283,2.0,192,104.0
283,4.0,174,136.5
